atype,date,lead_par,url,word_count,article_text
News,2016-01-04,"LONDON — The continued flow of people along Europe’s migration trail, from Turkey and Greece to the Balkans to Scandinavia, faced new impediments on Monday as two of the northernmost destinations further tightened border controls in response to political, economic and logistical pressures.",https://www.nytimes.com/2016/01/05/world/europe/sweden-denmark-border-check-migrants.html,1217,
News,2016-01-11,"LONDON — The police in Sweden, responding to accusations of a cover-up, said on Monday that they were investigating why the public had not been informed about sexual assaults by men reported to be migrants at a festival in Stockholm last summer.",https://www.nytimes.com/2016/01/12/world/europe/swedish-police-coverup-sexual-assault.html,612,
News,2016-01-23,"HONG KONG — An American student who is being detained by North Korea did nothing obvious during a five-day trip to the country that would have angered the authorities, a member of his tour group said Saturday.",https://www.nytimes.com/2016/01/24/world/asia/north-korea-detains-uva-student.html,673,
News,2016-01-25,"BEIJING — Peter Jesper Dahlin, a human rights activist from Sweden detained this month in Beijing on charges of violating national security laws, was to be expelled from China on Monday, the Chinese Ministry of Foreign Affairs said.",https://www.nytimes.com/2016/01/26/world/asia/china-to-expel-swedish-human-rights-advocate.html,473,
News,2016-01-26,"Nearly 500 years ago, Martin Luther nailed his 95 theses to the door of a German church, beginning the Protestant Reformation that led millions to break with the Roman Catholic Church and ushered in more than a century of conflict and war.",https://www.nytimes.com/2016/01/26/world/europe/pope-francis-catholics-and-lutherans-will-recall-reformation.html,664,
News,2016-01-31,"HALMSTAD, Sweden — Scores of masked men dressed in black, some carrying wooden weapons, descended on the center of Stockholm, gathering near the entrance to the city’s main subway station.",https://www.nytimes.com/2016/02/01/world/europe/attempted-attack-on-young-migrants-in-sweden-drew-rival-groups-together.html,394,
News,2017-01-19,"LONDON — Julian Assange, the WikiLeaks founder who has claimed asylum in Ecuador’s London embassy since 2012 to avoid extradition to Sweden on accusations of rape, said on Thursday that he stood by his offer to be extradited to the United States provided “his rights” would be “protected.”",https://www.nytimes.com/2017/01/19/world/europe/julian-assange-wikileaks-offers-extradition-to-us.html,526,
News,2018-01-23,BEIJING — China on Tuesday publicly rebuffed demands by Sweden for information on the fate of a Swedish citizen who was snatched off a train in China by plainclothes officers despite being under the protection of Swedish diplomats.,https://www.nytimes.com/2018/01/23/world/asia/china-sweden-bookseller.html,790,
News,2019-01-02,"HALMSTAD, Sweden — Maria Hussein, who escaped the war in Syria, was many hours into labor in a Swedish hospital when the midwife realized her fetus was in distress, and called in an obstetrician to help. ",https://www.nytimes.com/2019/01/02/world/europe/sweden-doula-childbirth.html,1288,
News,2019-01-18,"STOCKHOLM — After a deadlock lasting more than four months, Sweden got a new government on Friday, with the Social Democrats and Prime Minister Stefan Lofven holding onto power under an agreement that excludes a right-wing, anti-immigrant party.",https://www.nytimes.com/2019/01/18/world/europe/sweden-government.html,849,
